Address,Price
"8003 Fisher Glen Ln, Houston, TX 77072","$210,000"
"10105 Longwood Ct, Houston, TX 77024","$15,500,000"
"13919 Wadebridge Way, Houston, TX 77015","$239,000"
"14138 Burke Forest Dr, Houston, TX 77070","$320,000"
"1211 Caroline St UNIT 1004, Houston, TX 77002","$365,000"
"3018 Woodcreek Ln, Houston, TX 77073","$269,000"
"7238 Liberty Hall Dr, Houston, TX 77049","$249,900"
"7050 Pine Grove Dr, Houston, TX 77092","$255,000"
"3328 Masters Point Dr, Houston, TX 77091","$278,000"
"6618 Carly Park Way, Houston, TX 77084","$310,000"
"781 Country Place Dr APT 1001, Houston, TX 77079","$134,500"
"4 Carlota Ct, Houston, TX 77074","$259,900"
"17002 Lazy Elm Ct, Houston, TX 77095","$374,900"
"12003 Poulson Dr, Houston, TX 77031","$220,000"
"3210 Emerald Grove Dr, Kingwood, TX 77345","$409,900"
"4124 N Boulevard Park, Houston, TX 77098","$775,000"
"1339 W 25th St, Houston, TX 77008","$740,000"
"2308 Campbell St, Houston, TX 77026","$340,000"
"607 Saint Andrews Rd, Humble, TX 77339","$275,000"
"719 Schwartz St, Houston, TX 77020","$365,000"
"6819 Rocinante Ln, Houston, TX 77092","$395,500"
"7901 Helmers St, Houston, TX 77022","$259,000"
"8948 Chatsworth Dr, Houston, TX 77024","$359,500"
"2339 Quenby St, Houston, TX 77005","$1,495,000"
"3111 Russell St, Houston, TX 77026","$79,000"
"513 Branard St, Houston, TX 77006","$750,000"
"2129 Engelmohr St, Houston, TX 77054","$325,000"
"9200 Westheimer Rd APT 707, Houston, TX 77063","$239,500"
"2628 W Tidwell Rd #A, Houston, TX 77091","$334,000"
"11506 Rockford Dr, Houston, TX 77048","$210,000"
"4218 Joshua Cir, Houston, TX 77014","$379,900"
"3923 Suttonford Dr, Houston, TX 77066","$222,000"
"6323 Wister Ln, Houston, TX 77008","$725,000"
"15622 Carberry Hills Ct, Houston, TX 77044","$329,900"
"10119 Reedwood Ln, Houston, TX 77036","$255,000"
"4521 San Felipe St #2405, Houston, TX 77027","$948,900"
"8922 Ledge St, Houston, TX 77075","$249,999"
"2512 Isabella St, Houston, TX 77004","$550,000"
"811 Herdsman Dr, Houston, TX 77079","$897,000"
"2830 S Bartell Dr APT 210, Houston, TX 77054","$105,000"
"1601 S Shepherd Dr APT 272, Houston, TX 77019","$238,000"
"9102 Woodwind Lakes Dr, Houston, TX 77040","$559,900"
"2912 Leeland St, Houston, TX 77003","$382,500"
"12042 Carlsbad St, Houston, TX 77085","$210,000"
"3502 Castor St, Houston, TX 77022","$115,000"
"3115 Cascade Creek Dr, Humble, TX 77339","$247,000"
"1718 Pinnacle Dr, Humble, TX 77339","$269,900"
"9809 Cedardale Dr, Houston, TX 77055","$450,000"
"14918 Woodhorn Dr, Houston, TX 77062","$389,000"
"201 E 37th St, Houston, TX 77018","$275,000"
"9938 Cheeves Dr, Houston, TX 77016","$310,000"
"8118 Tower St, Houston, TX 77088","$264,949"
"10507 Sagepine Ln, Houston, TX 77089","$324,900"
"3025 Walnut Bend Ln APT 17, Houston, TX 77042","$105,000"
"8642 Sunny Ridge Dr, Houston, TX 77095","$294,999"
"18715 Windy Stone Dr, Houston, TX 77084","$312,000"
"5120 Leeland St, Houston, TX 77023","$419,900"
"3518 Huntsford Dr, Houston, TX 77008","$599,300"
